"","N","model","mse","var","bias"
"1",100,"exp",1.01442333128064,0.012080068954174,-1.00117697855845
"2",100,"weibull",0.0739456590204896,0.0726876753626232,0.0364783680176213
"3",100,"cox",0.0934835010796952,0.0928475837070862,0.0269956469882867
"4",150,"exp",1.01606781922147,0.00687467664677673,-1.00458947697621
"5",150,"weibull",0.0431747635062553,0.0427826914908962,0.0208531701870471
"6",150,"cox",0.0514140101571185,0.0512623175724303,0.0142462241404755
"7",200,"exp",1.02084428339968,0.00552528638086967,-1.00763312882477
"8",200,"weibull",0.0318628574187955,0.0317739500656606,0.0109855042306022
"9",200,"cox",0.0396193971509997,0.0396486328836574,0.00322690257459504
"10",250,"exp",0.999800316197374,0.00448079477923226,-0.997659261578281
"11",250,"weibull",0.0276282759643352,0.0272375085208047,0.0204451694062747
"12",250,"cox",0.032644025109984,0.0324173479356873,0.0160964133344163
"13",300,"exp",1.00987574298131,0.00370368711146797,-1.0030831269426
"14",300,"weibull",0.0218172313568119,0.0217585305429053,0.00896991329108255
"15",300,"cox",0.0269989112382079,0.0269674781880339,0.007642023839401
"16",350,"exp",1.00401157706631,0.00323815492659544,-1.00038825477644
"17",350,"weibull",0.0214383153893709,0.0212342447967039,0.0150101578094199
"18",350,"cox",0.0265969418928249,0.0264422113183509,0.0134600440486779
"19",400,"exp",1.00350752964038,0.00279757822246765,-1.0003563110193
"20",400,"weibull",0.01533201598737,0.0151569904161965,0.0137906693669932
"21",400,"cox",0.0179475759735008,0.0179039761355626,0.00784243674336613
